sentence|offsets|correction|old_type|new_type|comment
"OH I'M GETING MAD AGAIN SO I'AM GOING TO TELL YOU THE LAST THING , IT WAS THE HORRIBLE NIGHT I HAD EVER GOT SO I DEMEND FOR MY MONEY BACK !"|11 12||R:OTHER||
"OH I'M GETING MAD AGAIN SO I'AM GOING TO TELL YOU THE LAST THING , IT WAS THE HORRIBLE NIGHT I HAD EVER GOT SO I DEMEND FOR MY MONEY BACK !"|23 24|had|R:OTHER|R:VERB|
"NOW WITH MODERN MACHINES I CAN MAKE A BETTER USE OF MY TIME , IF I'AM LATE TO GO TO TRAINING AND I HADN'T IT YET I JUST TAKE MY FOOD AND PUT IT IN THE MICROWAVEOVEN ."|15 16|I am|R:OTHER|R:CONTR|
"ANOTHER EXAMPLE IS THE COMPUTERS , I THINK THEY ARE ONE OF THE MOST ADVANCED MACHINE IN THE WORLD , YOU CAN LIVE YOUR ENTIRE LIFE IN A HOUSE WITHOUT GOING OUT , BY JUST USING THE INTERNET , IT HAS ALSO HELPED ME IN MY SCHOOL HOMEWORK , I MEAN IT 'S INCREDIBLE THE TIME YOU WAIST BY MAKING THING WITHOUT A COMPUTER ."|10 11||R:OTHER||
"ANOTHER EXAMPLE IS THE COMPUTERS , I THINK THEY ARE ONE OF THE MOST ADVANCED MACHINE IN THE WORLD , YOU CAN LIVE YOUR ENTIRE LIFE IN A HOUSE WITHOUT GOING OUT , BY JUST USING THE INTERNET , IT HAS ALSO HELPED ME IN MY SCHOOL HOMEWORK , I MEAN IT 'S INCREDIBLE THE TIME YOU WAIST BY MAKING THING WITHOUT A COMPUTER ."|59 60|doing|R:OTHER|R:VERB|
"THIS CAN BE BAD TO BECAUSE IF I GET USED TO BE CONFORTABLE WHEN I NEED TO DO HARD WORKS I WON'T BE ABLE TO DO THEM ."|4 5||R:OTHER||
"THIS CAN BE BAD TO BECAUSE IF I GET USED TO BE CONFORTABLE WHEN I NEED TO DO HARD WORKS I WON'T BE ABLE TO DO THEM ."|25 27||U:OTHER||
"1th , June , 2000"|0 4||R:OTHER|U:PUNCT|
"How is the weather like in California in July ?"|0 1|what|R:OTHER||suggestion: question word category? 
"Everyone likes sale , but those so - called sale items are not really of value ."|14 15|good|R:OTHER|M:OTHER|
"Also supermarket owners have put in a vast amount of money to find out the best way to place goods in order to get the most profit ."|4 6|invested|R:OTHER|R:VERB|
"Therefore , we become impulsive buyers easily under these tricks ."|8 8||M:OTHER||
"I do n't think anyone would really like to face them ."|5 8||R:OTHER||
"If we came back to the past , we felt everything , it was so difficult to do , we would have plane and done by ourself and last time ."|26 27|ourselves|R:OTHER|R:NUM|
"In the present , the teachnology is a past of life ."|0 3||R:OTHER||
"Regarding the programme you have organised , it is great ideas everything that you have planed , but I would like to suggest to you something that the students saw in an advertisement ."|7 16||R:OTHER||
"Regarding the programme you have organised , it is great ideas everything that you have planed , but I would like to suggest to you something that the students saw in an advertisement ."|23 25||U:OTHER||
"The idea about going to science museum is fantastic , I read about the museum , it is really interesting in science history ."|21 23||R:OTHER||
"On Wednesday after viseted national Art Gallery , we can have a chat about ours next holiday at the free time in the afternoon ."|3 3||M:OTHER||
"Sometimes being famous can get stress , everywhere they go there are people around them , especially journalists , trying to ask millions questions ."|5 6|stressful|R:OTHER|R:MORPH|
"Famous people deserve to have freedom to do whatever they want , but it is quite difficult to do thing in a public places , because nobody like famous politicians or film stars without asking questions ."|27 28||R:OTHER||
"Then at the tickets - office I was said that no discounts were available so I had to pay the full prize despite I am a student ."|3 5|ticket|R:OTHER|R:NUM|
"Then at the tickets - office I was said that no discounts were available so I had to pay the full prize despite I am a student ."|23 23||M:OTHER||
"I am really not satisfied with the show - organization particularly because in the advertisement you wrote something different ."|7 10||R:OTHER||
"Obviously Ted should have known nothing about it and we remembered it to Pat twice : "" the party is a secret ! ! "" and she said : "" Yes , it must be a surprise ! """|10 14||R:OTHER||
"It will be held in Central Exhibition Hall , London or Tuesday March 14 from 10.00 to 19.00 ."|10 11|on|R:OTHER|R:SPELL|
"It will be held in Central Exhibition Hall , London or Tuesday March 14 from 10.00 to 19.00 ."|10 11|on|R:OTHER|R:PREP|
"However , instead of going to Army , I was able to apply to Korea Auxiliary Police ."|14 14||M:OTHER||
"Suddenly , the theft signal came into ."|3 5||R:OTHER||
"When we arrived at the place which it happened , one man started running away ."|6 7|where|R:OTHER||suggestion: question word category? 
"When I said to my mother , she asked me not to do it again ."|2 4|told|R:OTHER|R:VERB|
"But , I was a police - man ."|5 8|policeman|R:OTHER|R:SPELL|
"However , I would choose sailing because I am facinating with the sea and it 's misteries and I also like the watter , the wind in my face ..."|14 16||R:OTHER||
"Although it was 5.000 thousand people there , people could walk and dance without any problem ."|1 2||R:OTHER||
"Although it was 5.000 thousand people there , people could walk and dance without any problem ."|3 4||R:OTHER||
"It was very well organised , the shows started in the exactly time and the group were well performed too ."|9 11||U:OTHER||
"I have just received your letter which is made me so hapy . I can not belive that I won first prize in your competition , because I always belived I am an unluky man and now I think somethings are changing in my life ."|28 30||R:OTHER||
"I would like to come in July , because I am studying English and we have one month break at July , so please make my log cabin ready by july ."|24 29||R:OTHER||
"I used to be play in school team when I was in high school and our team was the one of the best Basketball team in all county and I also very good at swim ."|26 27||R:OTHER||
"I would like to ask a few things , specialy wheather : how is the weather in July in the U.S.A. What kind of clothes I will need and how much money I should take with me , Because I have never been U.S.A. before and I do n't know anything"|12 13|what|R:OTHER||suggestion: question-word category.
"I would like to ask a few things , specialy wheather : how is the weather in July in the U.S.A. What kind of clothes I will need and how much money I should take with me , Because I have never been U.S.A. before and I do n't know anything"|20 21|U.S.A?|R:OTHER|R:PUNCT |
"I would like to ask a few things , specialy wheather : how is the weather in July in the U.S.A. What kind of clothes I will need and how much money I should take with me , Because I have never been U.S.A. before and I do n't know anything"|51 51||M:OTHER||
"I am looking forward to your reply letter ."|6 8||R:OTHER||
"Your sincerely"|0 1|Yours|R:OTHER|R:PRON|
"I have never enjoyed doing shopping , but nowday some people are calling shopcholic ."|9 9||M:OTHER||
"They are just like alcholics and this people are every day doing shopping because they can not stop themself unless they have not got money for spend ."|8 13||R:OTHER||
"I can not believe how they doing this things every day , even when I need something at home I alway try to find out something to use instead of that things ."|29 32||U:OTHER||
"The queue is not only the problem if you go by car there is parking problem , if you go by bus there is again queue and you have to carry many carry bag carrier bags during the your journey and you wo n't be alway luky to find a seat to seat ."|14 16||R:OTHER||
"The queue is not only the problem if you go by car there is parking problem , if you go by bus there is again queue and you have to carry many carry bag carrier bags during the your journey and you wo n't be alway luky to find a seat to seat ."|31 32||R:OTHER||
"The queue is not only the problem if you go by car there is parking problem , if you go by bus there is again queue and you have to carry many carry bag carrier bags during the your journey and you wo n't be alway luky to find a seat to seat ."|44 46|always be|R:OTHER|R:WO|
"The queue is not only the problem if you go by car there is parking problem , if you go by bus there is again queue and you have to carry many carry bag carrier bags during the your journey and you wo n't be alway luky to find a seat to seat ."|44 46|always be|R:OTHER|R:SPELL|
"If you go shopping for ( buy ) clothes that is the worse kind of shopping ."|5 8||U:OTHER||
"Specialy if you want to buy with your girlfriend or if you are already girl you have to be read for hours to spend try on and off ."|19 20||R:OTHER||
"Specialy if you want to buy with your girlfriend or if you are already girl you have to be read for hours to spend try on and off ."|26 28|ready|R:OTHER|R:SPELL|
"I realy hate go shopping with girls to buy clothes because when they went into a shop they want try on every single cloth and they do not realise to time ."|23 24|clothes|R:OTHER|M:NOUN|
"I realy hate go shopping with girls to buy clothes because when they went into a shop they want try on every single cloth and they do not realise to time ."|29 30||R:OTHER||
"Secondly , I must complain that the musical show started almost an hour later and in addition to this anyone did n't excuse ."|19 23||R:OTHER||
"Your faithfully"|0 1|Yours|R:OTHER|R:PRON|
"Mr. Manager :"|0 1||R:OTHER||
"Firstly when I went to the show it was writing that the starting time was 19.30 but it started at quarter past eight I had waitted for fourthey five minutes ."|27 28|forty-|R:OTHER|R:SPELL|
"And as last that was the worse night I had ever had so I asked for my money back but they would n't give it so I had an argument with the people Who worked their but I could n't get my money back ."|35 36||R:OTHER||
"Because last year I started smoking and nobody knew that I was smoking but one day as I was smoking at the back of the school some one came next to me and I noticed that it was Pat ."|29 30|up|R:OTHER|R:PREP|
"She said that she would n't tell it to anyone but I knew she might say it to someone so I always was with her very minute ever second ."|7 9||U:OTHER||
"She said that she would n't tell it to anyone but I knew she might say it to someone so I always was with her very minute ever second ."|25 26|every|R:OTHER|R:SPELL|
"She said that she would n't tell it to anyone but I knew she might say it to someone so I always was with her very minute ever second ."|27 28|every|R:OTHER|R:SPELL|
"But one day as I was walking home like every night I saw Pat at the front of our house door talking to my dad ."|14 16|in|R:OTHER|R:PREP|
"I could n't go out of the house for a month so now I know how Pat is and ca n't keep any secrets ."|19 19|that she|M:OTHER||
"I 'm writing to you to complain about the musical show you present at the moment : "" Over the Rainbow "" ."|12 13|are putting on|R:OTHER|R:VERB|
"I 'm writing to you to complain about the musical show you present at the moment : "" Over the Rainbow "" ."|12 13|are putting on|R:OTHER|R:VERB:TENSE|
"Your theatre is known to present excellent spectacles ."|5 6|put on|R:OTHER|R:VERB|
"We were never disappointed so far and especially enjoyed "" The Drama "" you presented last year ."|4 6|before|R:OTHER|R:ADV|
"Therefore I ask you to give use £ 20 back , because the two tickets were not more worth ."|6 7|us|R:OTHER|R:SPELL|
"It was so hot , I decided to go for a swim in tutry , although I had n't any swimming - clothes ."|21 23|costume|R:OTHER|R:NOUN|
"They drove me to their office after having given me use of their shirt ."|10 13|a|R:OTHER||
"I am recommending you to check your possible time to work - weekdays or weekend ? - before you request a job ."|19 20|apply for|R:OTHER|R:VERB|
"I am recommending you to check your possible time to work - weekdays or weekend ? - before you request a job ."|19 20|apply for|R:OTHER|M:PREP|
"Secondly , as your family or friends ."|2 3|ask|R:OTHER|R:SPELL|
"As it is said in your advertisement , the show is starring Danny Brook but there was different actor ."|19 19|on stage|M:OTHER||
"Everything was just vice versa ."|3 5|the reverse|R:OTHER||
"But she told it to very kid in school , even the teachers heard it ."|5 6|every|R:OTHER|R:SPELL|
"Secondly , I had some ideas for the next year events , such as :"|14 14|the following|M:OTHER||
"In addictions , the ticket 's price is too expensive and difficult to buy another one every day , so , I think is more effective if was one reasonably - priced weekend ticket for all events ."|4 7|ticket|R:OTHER|R:NOUN:NUM|
"In addictions , the ticket 's price is too expensive and difficult to buy another one every day , so , I think is more effective if was one reasonably - priced weekend ticket for all events ."|11 11|it is|M:OTHER||
"In addictions , the ticket 's price is too expensive and difficult to buy another one every day , so , I think is more effective if was one reasonably - priced weekend ticket for all events ."|14 15|a new|R:OTHER||
"I remember these time in our class when us talking many time about rules and I am missing that time so much ."|10 11|for a long|R:OTHER||
"Well , about rules in my contry , is not different than another countries ."|8 8|the situation|M:OTHER||
"Well , about rules in my contry , is not different than another countries ."|12 13|other|R:OTHER|R:ADJ|
"First of all , the actor was different from your advertisement ."|9 9|the one mentioned in|M:OTHER||
"Besides this , the theatre restaurant was early closed ."|6 9|closed early|R:OTHER|R:WO|
"It was so close to be on his birthday , so we made a decision to hold a small party for him ."|5 7||U:OTHER||
"She has just learnt with us for three weeks ."|1 4|had just been studying|R:OTHER||
"However , this party she took part in , she was responsible for preparing food ."|5 8|came to|R:OTHER||
"Finally , I think it was a good idea the fact to buy only one ticket for all the events since I just spent the time watching and enjoying all of them ."|9 11||U:OTHER||
"Your sincerely"|0 1|Yours|R:OTHER|R:SPELL|
"Your sincerely"|0 1|Yours|R:OTHER|R:PRON|
"At home everything is quite good , mum and dad are great but there 's one main rule I must tell them were I go and what time I 'll come back ."|22 23|where|R:OTHER|R:SPELL|
"She usually tells me what to do and what kind of clothes I should wear but I do n't care about it ."|19 22|take any notice of her|R:OTHER||
"Especially I believe that the visit to the National Art Gallery will be a really exciting experience for all of us ."|0 1|In particular|R:OTHER||
"It will take place on Tuesday from 10.00am to 19.00pm , so we could give up the shopping and go to the show in the afternoon ."|9 10|7.00pm|R:OTHER||
"Being famous and risk is something all of us have dreamt of sometimes ."|1 4|rich and famous|R:OTHER|R:SPELL|
"Being famous and risk is something all of us have dreamt of sometimes ."|12 13|at some time|R:OTHER|R:NOUN|
"Being famous and risk is something all of us have dreamt of sometimes ."|1 4|rich and famous|R:OTHER|R:WO|
"But not always famous people are happy of their condition ."|1 6|famous people aren't always|R:OTHER||
"There is no surprise to this answer : famous people can not have their own private life ."|0 7|This answer is no surprise |R:OTHER||
"Also the most famous star can be unhappy and depresed : not always , in fact , money and celebrity being happiness ."|11 21|In fact, money and celebrity don't always bring|R:OTHER||
"It is no doubt that functions and structures of the home have been changing as well as that of transformation , for example , have been ."|0 1|There|R:OTHER||
"New materials will surly change the home of the future in any ways ."|11 12|many|R:OTHER|R:SPELL|
"Hopefully , the minds of people will stay peaceful and tender in the future ."|10 11|gentle|R:OTHER|R:ADJ|
"So I am unable to go on holiday to another time ."|8 10|at any other|R:OTHER||
"I think it is also important to present a comercial english lesson , maybe the pupils could write "" offers and orders "" or enquiries on the blackboard ."|9 10|business|R:OTHER||
"The smokers in the school yard , the buffett and the other pupils , who are sitting in front of their tables writing their homework ."|17 20|at|R:OTHER|R:PREP|
"I think then we should film an informatic - lesson ."|7 9|information|R:OTHER||
"It 's really funny to see the helpless teacher , who wants to go on writing in excel or a word text , while the computers do not work or brake down ."|15 16|working|R:OTHER|R:VERB|
"Especially I was disappointed by Danny Brook who made me nervous with his lack of talent ."|0 1|In particular|R:OTHER||
"Come back to paradise"|0 2|Return|R:OTHER||
"That 's why I believe in the solution which is the closest to human nature and can help us to omit the boredome I am sure that at last we will take off our clothes and in the future we will be undressed and free there wo n't be any problem with being up - do - date ."|27 29|eventually|R:OTHER||
"Thanks to computers , phones , mobile phones , internet I can communicate with other people faster than I was able to do before ."|9 9|and the|M:OTHER|M:CONJ|
"Thanks to computers , phones , mobile phones , internet I can communicate with other people faster than I was able to do before ."|9 9|and the|M:OTHER|M:DET|
"First of all , I spend too much time indoors playing computer or watching TV . I know that if I want to keep fit and stay healthy , I must take up some sport ."|11 11|on the|M:OTHER|M:PREP|
"First of all , I spend too much time indoors playing computer or watching TV . I know that if I want to keep fit and stay healthy , I must take up some sport ."|11 11|on the|M:OTHER|M:DET|
"By the other side , I have never climbed a mountain but I always wanted to do it ."|0 4|on the other hand|R:OTHER||
"I thing it is a great opportunity for us , as it is at the time of our being in London and is free of charge for students ."|1 2|think|R:OTHER|R:SPELL|
"I hope you will consider this proposition and I am looking forward to hearing form you ."|14 15|from|R:OTHER|R:SPELL|
"First of all , it would be greater if there were more famous people who have various nationalities ."|14 16|of|R:OTHER||
"Of course , you ca n't afford a luxualy car and a large apartment unless you 've born with a silver spoon ."|16 22|re born with a silver spoon in your mouth|R:OTHER||
"Not only it 's a simple job , but also you can enjoy working with many colleague at your age ."|2 4|is it|R:OTHER|R:WO|
"Not only it 's a simple job , but also you can enjoy working with many colleague at your age ."|15 16|a lot of|R:OTHER||
"Dir Madam"|0 1|Dear|R:OTHER|R:SPELL|
"In addition in such kind of shops prizes are very high , of course not all of them ."|3 4|this|R:OTHER|R:DET|
"I my opinion the worst thing which may happened is extremly hugh queu to the changing room ."|0 1|In|R:OTHER|R:SPELL|
"I my opinion the worst thing which may happened is extremly hugh queu to the changing room ."|11 12|long|R:OTHER|R:ADJ|
"On balance I think that shopping should be a nice thing so if you have bad mood do n't go shopping ."|14 15|are in |R:OTHER||
"First of all , I want to thank you in the name of the class for your good organisation and programme , Especially for the fact that you are giving us some free time ."|9 12|on behalf|R:OTHER||
"The show is on Tuesday the 14th of March , from 10 oo to 19 oo o'clock in the Central Exhibition Hall ."|12 16|to 7|R:OTHER||
"There will be shown the latest fashions about leisure and sports wear , make up and hairstyles ."|0 17|The latest fashions in leisure and sports wear, make-up and hairstyles will be shown there|R:OTHER||
"The yellow press is searching for every little information they can get ."|8 8|bit of|M:OTHER||
"The photographers are chasing these people , just to take a picture of them on how they eat or with who the meat ."|14 15|to show|R:OTHER||
"The photographers are chasing these people , just to take a picture of them on how they eat or with who the meat ."|22 23|meet|R:OTHER|R:SPELL|
"The price for fame and money is the lost of privacy ."|8 9|loss|R:OTHER||
"As well as this , the stars should n't complaint at any time about their fans and their lost of privacy ."|18 19|loss|R:OTHER||
"They wanted to be famous and the had known the price before ."|11 12|beforehand|R:OTHER|R:ADJ|
"Instead of half past seven the show startet at quarter past eight . I could n't go to have a refreshment because of two reasons , the first one is that there was no information how much time the start of the show is going to be late ."|36 38|long|R:OTHER||
"The second reason is that the restaurant of the theatre was closed because of building plans for the next two month ."|6 10|theatre restaurant|R:OTHER||
"The second reason is that the restaurant of the theatre was closed because of building plans for the next two month ."|12 21|for the next two months because of building plans|R:OTHER||
"After I waited for about 45 minutes the show suddenly started but I had to realize that the main actor Danny Brook , who was the reason why I went into the show had been traded by an other actor , who could n't sing as half as good then Brook ."|48 49|well|R:OTHER|R:ADJ|
"After I waited for about 45 minutes the show suddenly started but I had to realize that the main actor Danny Brook , who was the reason why I went into the show had been traded by an other actor , who could n't sing as half as good then Brook ."|49 50|as|R:OTHER||
"To make an result the evening in your theatre and the show was very disappointing and not like promised ."|1 4|conclude|R:OTHER||
"To make an result the evening in your theatre and the show was very disappointing and not like promised ."|18 18|the one|M:OTHER||
"For these reasons I want to ask you to get my money of £ 25 back ."|8 10|for|R:OTHER||
"Sarah looked at him for a while , than she stood in front of the class and explaind to the others , that she won a prize for 20 people to travel for 1 week to the sea of southern France and everybody of the 19 pupils was invited , except Pat who was n't very good at keeping secrets ."|8 9|then|R:OTHER|R:SPELL|
"Sarah looked at him for a while , than she stood in front of the class and explaind to the others , that she won a prize for 20 people to travel for 1 week to the sea of southern France and everybody of the 19 pupils was invited , except Pat who was n't very good at keeping secrets ."|42 43|every one|R:OTHER||
"I am waiting this letter re fearing to the show "" over the Rainbow "" you presented the 10 of this month ."|5 7|referring|R:OTHER|R:SPELL|
"I am waiting this letter re fearing to the show "" over the Rainbow "" you presented the 10 of this month ."|5 7|referring|R:OTHER|R:ORTH|
"But , the quality of this show was n't what you let understand , an I feel realy disappointed by it ."|11 13|let me to believe it would be|R:OTHER||
"But , the quality of this show was n't what you let understand , an I feel realy disappointed by it ."|14 15|and |R:OTHER|R:SPELL|
"First of all , you presented a starring composed with Danny Brook , but he was n't there !"|8 10|including|R:OTHER||
"So you can imagine how I am satisfied by your pretending "" Perfect Evening "" ."|11 11|it would be a|M:OTHER||
"The police arrived twenty minutes later , took my mother and checked to see what could be interesting to find the murder : lucky , the knife which he used to kill her was still here and in fact they could arrested him ."|40 41|were able to|R:OTHER||
"They found hime two months after and six months after he was in jail ."|5 6|later|R:OTHER|R:ADV|
"They found hime two months after and six months after he was in jail ."|9 10|later|R:OTHER|R:ADV|
"Finally , after the show we had planed to eat diner at the theatre restaurant and we were very disappointed when it turned out to closed ."|2 11|we had planned to eat dinner after the show|R:OTHER||
"Your sincerely ,"|0 1|Yours|R:OTHER|R:SPELL|
"Unfortunately , Pat was n't very good at keeping secrets and the rumours describing me stealing soon reached the director 's office ."|13 14|about|R:OTHER||
"The same evening my father pronounced a few words : ' May this be the end of your thief career we are only ready to forgive if you promiss never to start again '"|0 2|That|R:OTHER||
"The same evening my father pronounced a few words : ' May this be the end of your thief career we are only ready to forgive if you promiss never to start again '"|18 20|career as a thief|R:OTHER||
"In the second place I add that I would prefer an accomodation in a tent , even though it is not very comfortable , because I want to put myself to the test by living in a condition I am not used to ."|10 12|to stay|R:OTHER||
"Most of the students agree in saying that two are the main features of our daily life at school which should be filmed : it would be very funny to dwell on us working and speaking together without the help of the teacher to show our efforts and sometimes successful and sometimes ridiculous and also to film some amusing moments we spent waiting for the teacher ."|8 8|there are|M:OTHER||
"Most of the students agree in saying that two are the main features of our daily life at school which should be filmed : it would be very funny to dwell on us working and speaking together without the help of the teacher to show our efforts and sometimes successful and sometimes ridiculous and also to film some amusing moments we spent waiting for the teacher ."|9 11||U:OTHER||
"A little percentage , on the contrary , said it would be very useful to film the teacher when she is explaining us something important , to give the idea of the real life in our classroom . which is the most ."|21 25|something important to us|R:OTHER||
"Then , I was forced to wait fourty five minutes to see the show because it started at 20:75 in stead of 19:30 and when it finally started , I was really disapointed to see that the actors were n't Danny and Tina as it said on the anouncement ."|7 8|forty-|R:OTHER|R:ORTH|
"Then , I was forced to wait fourty five minutes to see the show because it started at 20:75 in stead of 19:30 and when it finally started , I was really disapointed to see that the actors were n't Danny and Tina as it said on the anouncement ."|7 8|forty-|R:OTHER|R:SPELL|
"Second of all , I would prefer to live in a tent ."|0 3|Secondly|R:OTHER||
"The reason of my decision is that other activities are availiable to take also in my county , except climbing , but I have fear of heights so this one is not destinated for people like me ."|10 14|also available|R:OTHER||
"That 's why I suppose , that man 's clothes will be becoming more and more light ."|13 17|lighter and lighter|R:OTHER||
"At Camp California , I hope I will be in tents because I like very much this kind of style life : I love the contact with the nature ."|24 25|to be in|R:OTHER||
"On the other handDuring my stay in Camp California , I want to go swimming because I practice this activitie regularly and I often do competitions : this is one of my hobbies ."|0 4|During|R:OTHER|R:ORTH|
"In addition to this , I wish I am going to sail : I have never try it , but it seems to be great !"|7 9||U:OTHER||
"In addition to this , I wish I am going to sail : I have never try it , but it seems to be great !"|10 12|sailing|R:OTHER|R:VERB:FORM|
"As soon as all the conections was made , we tested the nivel of the sound : I found it too loud , so I advised them to regular it , and they listed to me !"|12 16|volume|R:OTHER|R:NOUN|
"Moreover , I learnt a lot about music , especially concerning the way of using an instrument ."|11 14|how|R:OTHER||
"My friends have seen an advertisement which is the London fashion and leissure show ."|10 14|Fashion and Leisure show|R:OTHER|R:ORTH|
"My friends have seen an advertisement which is the London fashion and leissure show ."|10 14|Fashion and Leisure show|R:OTHER|R:SPELL|
"We have decided it would be more interesting to see the latest fashions , make up , hairstyles instead of going to do shopping ."|18 20|than|R:OTHER||
"We would suggest gong to this fabolous show ."|3 4|going|R:OTHER|R:SPELL|
"Although I imagine my house in my future , I am sure I would be suprised when I had them ."|16 17|if|R:OTHER|R:CONJ|
"The advertisement shew two actors but I was surprised to see as the main caracter a different person ."|2 3|showed|R:OTHER|R:SPELL|
"The advertisement shew two actors but I was surprised to see as the main caracter a different person ."|2 3|showed|R:OTHER|R:VERB:TENSE|
